SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,Rural,Suburb,Urban
1013,4,3,Urban,2002,164858.18694892063,0,0,1
1241,3,2,Urban,1985,199373.18209909197,0,0,1
1776,4,2,Urban,2014,181245.4467436535,0,0,1
2369,5,1,Suburb,1963,209700.7184829428,0,1,0
1564,2,2,Rural,1983,163053.3920501942,1,0,0
1897,4,2,Rural,1975,304004.68986597785,1,0,0
2363,5,3,Urban,2004,308830.9396512381,0,0,1
1091,3,3,Urban,2012,194294.00184175,0,0,1
2390,5,3,Urban,2019,172777.3198326151,0,0,1
1955,4,1,Suburb,1995,197656.07026552537,0,1,0
2478,5,3,Urban,1986,273365.49912049377,0,0,1
2451,5,2,Rural,1972,216047.21814963987,1,0,0
1508,4,1,Urban,1965,149586.15312931265,0,0,1
1775,4,2,Suburb,1981,214171.08224172727,0,1,0
2966,3,2,Rural,1956,277419.0001600792,1,0,0
1034,5,3,Rural,1993,117295.37520060757,1,0,0
1205,2,1,Urban,1996,180760.867453112,0,0,1
2104,4,1,Suburb,1954,202715.1601476104,0,1,0
2955,5,3,Rural,2012,378403.5710107572,1,0,0
2585,2,1,Suburb,1961,257776.0924243205,0,1,0
2895,2,2,Suburb,2021,266046.87792908505,0,1,0
2411,5,1,Rural,1958,337645.67623531295,1,0,0
2025,5,2,Rural,1993,240145.9702539115,1,0,0
2021,5,1,Suburb,1971,92641.62211021264,0,1,0
2413,2,1,Urban,1995,152037.88283583574,0,0,1
1565,5,3,Rural,1957,149848.61640852437,1,0,0
2129,4,3,Urban,2005,220384.43445019663,0,0,1
2795,2,1,Rural,1977,305658.56385268376,1,0,0
2845,4,2,Urban,1996,318297.25657762005,0,0,1
2500,4,3,Rural,1984,230749.27633657065,1,0,0
1702,5,3,Urban,1970,201925.84088885225,0,0,1
1401,4,3,Suburb,1982,149576.68114338422,0,1,0
1729,5,1,Rural,2019,171877.06629783398,1,0,0
2579,2,2,Urban,1997,245276.73391788083,0,0,1
1161,4,2,Suburb,2003,288571.1271841178,0,1,0
1201,5,1,Urban,1951,87804.5603712397,0,0,1
2981,3,2,Rural,1982,267127.0106286388,1,0,0
1995,5,3,Suburb,1965,221217.76933158597,0,1,0
1269,3,2,Suburb,1999,218784.63298580731,0,1,0
2886,5,3,Rural,1969,315607.02376495936,1,0,0
1815,3,3,Urban,2016,217967.92847377845,0,0,1
2294,4,1,Rural,1994,353343.63401135267,1,0,0
1455,3,3,Urban,1984,187002.96390785457,0,0,1
2485,4,2,Rural,1978,222855.0832963985,1,0,0
2750,4,2,Rural,1994,366548.8223262025,1,0,0
2275,5,2,Rural,1964,259473.2793370484,1,0,0
2016,4,2,Urban,1952,212440.4223945249,0,0,1
2725,2,2,Urban,2018,237066.6856356926,0,0,1
1295,3,3,Urban,1983,158357.6480582802,0,0,1
2748,5,1,Suburb,2020,255619.99775314287,0,1,0
1719,4,1,Suburb,1953,190659.43496867083,0,1,0
2772,3,2,Urban,1968,284985.43569363654,0,0,1
1337,3,3,Urban,1970,214741.228522745,0,0,1
1878,2,1,Suburb,1964,128693.02879404814,0,1,0
2076,3,2,Rural,1966,184051.98271688656,1,0,0
1791,5,3,Rural,2003,242865.26019000952,1,0,0
2945,5,1,Urban,1986,295356.77549321775,0,0,1
1216,4,3,Rural,2003,107868.93208831896,1,0,0
1763,4,2,Urban,1971,207380.13609180792,0,0,1
1187,5,3,Suburb,1957,132828.81413178446,0,1,0
1379,3,1,Urban,1960,84493.6913127725,0,0,1
1492,3,1,Suburb,2019,53360.86540604882,0,1,0
2064,2,3,Rural,1958,296199.3496255564,1,0,0
2180,4,1,Urban,1951,273924.557395998,0,0,1
1014,3,3,Urban,1981,204340.7258965054,0,0,1
2836,3,3,Urban,2000,228582.09695971967,0,0,1
1064,4,2,Suburb,1986,237384.3466275038,0,1,0
2880,5,2,Rural,1955,312245.8679787154,1,0,0
2862,3,3,Urban,1961,219408.6249604324,0,0,1
1520,2,1,Rural,2003,201334.94160447217,1,0,0
2367,3,2,Suburb,1995,221413.5776081872,0,1,0
2152,3,1,Rural,1982,306839.62194227794,1,0,0
1647,2,3,Urban,1967,126756.3572316613,0,0,1
2495,5,1,Urban,1987,328702.8347369156,0,0,1
2086,2,1,Suburb,2008,141074.02839361285,0,1,0
2162,2,3,Rural,1956,220712.46134879728,1,0,0
2522,4,2,Urban,1964,319176.8398973249,0,0,1
1592,3,2,Suburb,1950,245299.2098929523,0,1,0
1391,5,1,Rural,1995,51154.13113008726,1,0,0
2698,3,3,Urban,1981,314018.0283390546,0,0,1
1418,5,3,Suburb,1998,222904.25800629333,0,1,0
1288,2,2,Suburb,1959,115697.77821526628,0,1,0
1378,4,3,Suburb,1966,140714.77037514705,0,1,0
2796,2,3,Suburb,1969,178353.14814536367,0,1,0
2513,3,1,Suburb,2000,280022.0311214733,0,1,0
1230,4,1,Rural,1971,136418.4807787985,1,0,0
2017,4,2,Urban,1969,195803.9703359068,0,0,1
1040,3,2,Rural,2014,98933.439065306,1,0,0
2051,5,1,Suburb,1953,185052.5631740863,0,1,0
1134,4,3,Urban,2003,160764.43940877952,0,0,1
1200,5,3,Suburb,2014,156394.27348181067,0,1,0
2863,5,1,Suburb,2000,333464.1490294491,0,1,0
1779,5,1,Urban,1960,211994.3281859909,0,0,1
1929,4,1,Rural,1976,252779.69087222763,1,0,0
2056,2,1,Urban,1975,288750.4043072761,0,0,1
2071,4,3,Rural,1966,185482.06063162317,1,0,0
1502,2,3,Suburb,1991,119671.3689479028,0,1,0
1406,4,2,Suburb,1997,148891.4193350198,0,1,0
2597,2,1,Rural,1982,235810.22355681533,1,0,0
2751,2,2,Suburb,2010,357765.11724448414,0,1,0
1804,4,3,Rural,1978,216771.35995628755,1,0,0
1098,5,2,Rural,2012,102580.49836622812,1,0,0
1683,5,3,Urban,1986,208774.14233121456,0,0,1
2895,2,3,Suburb,2005,302454.6401474587,0,1,0
1725,3,2,Urban,1965,208558.78172335384,0,0,1
2570,3,2,Urban,2005,276434.5399454463,0,0,1
1960,4,1,Suburb,1991,220786.7119550845,0,1,0
2762,4,3,Urban,1973,354268.47524739604,0,0,1
1612,4,1,Suburb,2018,142420.97226095255,0,1,0
2966,3,1,Suburb,1980,299146.59537507093,0,1,0
2485,5,3,Urban,1960,321647.4526525699,0,0,1
1642,4,2,Suburb,1951,216976.90806023663,0,1,0
2792,4,1,Suburb,2020,243179.70337319985,0,1,0
2028,5,1,Suburb,1984,184210.77355558556,0,1,0
2241,2,3,Suburb,2011,175779.56815188617,0,1,0
1502,4,2,Urban,2003,162271.08640489963,0,0,1
1766,3,2,Rural,2018,240727.03972085557,1,0,0
1397,3,1,Urban,2000,186900.94639311853,0,0,1
1870,4,3,Rural,1958,208692.1497994106,1,0,0
1794,3,1,Rural,1963,114333.69387419586,1,0,0
1392,5,2,Rural,2005,225281.32417764855,1,0,0
1206,2,1,Suburb,1983,110852.45257182162,0,1,0
2038,2,3,Rural,1950,206119.18171087175,1,0,0
2881,4,1,Suburb,1987,292218.3734233528,0,1,0
2577,4,2,Suburb,1966,209166.2973385366,0,1,0
1891,2,3,Suburb,1965,283220.10867648444,0,1,0
2484,2,3,Urban,1997,354538.82144245284,0,0,1
2714,4,3,Rural,1999,290954.49181524914,1,0,0
2598,3,3,Urban,2020,207377.55545532453,0,0,1
1863,4,3,Suburb,1990,267934.0925699399,0,1,0
1742,5,1,Urban,1993,235034.89983819608,0,0,1
2264,4,3,Suburb,1964,246611.88309182983,0,1,0
1563,4,2,Urban,2010,314867.65157339314,0,0,1
2020,4,3,Suburb,1999,278092.75713699666,0,1,0
1095,4,2,Suburb,2001,88443.38397499491,0,1,0
2923,4,2,Urban,2001,235396.4544878884,0,0,1
2757,4,2,Suburb,1985,280503.8129283642,0,1,0
1484,3,2,Rural,1982,273072.3372618648,1,0,0
2430,4,2,Urban,1994,252666.84831969367,0,0,1
1230,2,1,Urban,1951,133914.40680878342,0,0,1
1748,4,2,Suburb,1950,142717.8302268369,0,1,0
2678,3,2,Urban,2019,266197.0443802551,0,0,1
2194,5,2,Rural,1996,245433.69445927496,1,0,0
1540,2,1,Urban,2013,177796.40298151918,0,0,1
2059,4,3,Rural,1967,226582.27427106167,1,0,0
1524,4,2,Urban,2003,170745.4653213651,0,0,1
2183,2,1,Rural,1984,194059.37069774355,1,0,0
2862,4,1,Urban,2008,347187.40927735553,0,0,1
2722,3,1,Rural,1985,345978.9788809702,1,0,0
2266,4,3,Suburb,1975,323981.5079872238,0,1,0
2109,5,1,Urban,1994,185909.90163690777,0,0,1
2819,3,2,Urban,2018,231642.41525201904,0,0,1
1577,4,2,Rural,1979,181472.0115124785,1,0,0
1681,5,2,Urban,1982,247683.3818141536,0,0,1
1556,2,3,Rural,1972,174119.77971258396,1,0,0
2597,3,1,Suburb,1970,249931.38186463085,0,1,0
2976,4,2,Rural,2012,352084.04725339817,1,0,0
2012,4,2,Urban,2019,356256.91027704417,0,0,1
1645,2,2,Suburb,2017,115738.60239613194,0,1,0
1795,2,3,Rural,1985,265399.2764300769,1,0,0
2051,3,2,Rural,1986,205543.4524987724,1,0,0
2643,3,1,Suburb,1950,248155.87168453963,0,1,0
2579,3,1,Urban,1975,318796.39679075696,0,0,1
2363,4,3,Urban,1991,254479.2559878204,0,0,1
2821,4,3,Urban,1989,248782.21694158544,0,0,1
2981,3,3,Suburb,2002,320922.1761831169,0,1,0
2354,4,1,Rural,2011,265274.0039736152,1,0,0
2663,2,3,Suburb,1993,283301.9362070697,0,1,0
2529,5,3,Rural,1985,291195.67134809634,1,0,0
2371,4,1,Suburb,1953,240277.00975870187,0,1,0
2496,3,2,Rural,1970,316708.5953854667,1,0,0
2254,4,3,Rural,1966,267724.6993464473,1,0,0
1189,2,2,Suburb,1965,52033.75929268488,0,1,0
2248,3,2,Suburb,1990,157260.98352993536,0,1,0
2408,5,2,Suburb,2004,349887.387165537,0,1,0
2400,3,2,Rural,2006,302581.5244158059,1,0,0
2306,3,3,Suburb,2015,267740.4346651604,0,1,0
2981,3,3,Rural,1987,296942.7544003423,1,0,0
1632,4,3,Rural,2005,211665.6221785599,1,0,0
1627,5,1,Suburb,1986,240462.67775685625,0,1,0
1972,2,1,Urban,1999,221900.77310879892,0,0,1
2768,4,2,Urban,2004,337510.5084427254,0,0,1
2282,5,1,Rural,1950,351438.5468115283,1,0,0
2382,5,2,Rural,2014,207718.7411877128,1,0,0
1709,4,2,Urban,2014,187379.39012426996,0,0,1
2479,3,3,Rural,1993,325104.8263530242,1,0,0
2434,5,3,Urban,1961,234064.51365009736,0,0,1
1648,2,1,Rural,2002,168976.49535597963,1,0,0
1317,4,3,Rural,2010,72491.39025921248,1,0,0
2700,5,1,Suburb,1962,397825.33643637935,0,1,0
2248,2,3,Urban,1991,224680.0524200836,0,0,1
2842,2,3,Rural,1995,297609.7185248232,1,0,0
2257,2,1,Urban,1991,211357.56307458412,0,0,1
1683,2,2,Suburb,1965,191156.38414084716,0,1,0
1663,4,1,Urban,1993,198444.2855472129,0,0,1
2998,2,3,Rural,2019,227602.84522047613,1,0,0
2850,4,2,Urban,1965,227374.5843014784,0,0,1
2397,2,3,Suburb,1971,311492.246607957,0,1,0
2695,2,3,Urban,1984,341035.6518169741,0,0,1
2631,4,3,Urban,1998,329215.4127322002,0,0,1
2495,3,2,Urban,2020,189722.8949577994,0,0,1
2256,5,3,Urban,2013,315304.2483174342,0,0,1
2715,5,1,Rural,1980,229019.4794959325,1,0,0
2136,4,1,Urban,1950,218041.2170573715,0,0,1
2853,2,1,Suburb,1974,256367.864328076,0,1,0
2520,4,2,Urban,1969,427589.0870411169,0,0,1
1441,2,1,Suburb,1957,161116.81865195103,0,1,0
1563,4,3,Suburb,2013,182494.88596722667,0,1,0
2291,5,2,Suburb,1965,276165.905109651,0,1,0
2533,4,3,Suburb,2004,314516.6129790323,0,1,0
2830,5,3,Rural,1975,272012.265169515,1,0,0
2409,5,3,Urban,2014,342249.54232187086,0,0,1
2410,5,1,Urban,1977,258023.51102204097,0,0,1
2136,4,1,Rural,1995,115459.88197304336,1,0,0
2636,3,2,Urban,2003,240419.9739043436,0,0,1
2648,4,2,Rural,2003,388951.7892392383,1,0,0
1951,4,1,Suburb,2021,250119.2128528494,0,1,0
2104,3,1,Urban,1998,210586.97653456448,0,0,1
1698,3,3,Suburb,1995,234243.624414166,0,1,0
1112,5,1,Urban,1950,69293.96649206044,0,0,1
1001,2,3,Urban,1993,163837.68243703258,0,0,1
1641,2,1,Urban,1953,252127.9862511156,0,0,1
1219,5,3,Suburb,1980,117989.35682972187,0,1,0
2589,4,1,Rural,1964,313948.4453118486,1,0,0
1854,2,1,Suburb,1950,254919.27518581905,0,1,0
2759,4,2,Rural,2021,197521.82717092487,1,0,0
2248,3,2,Urban,1955,198494.040257516,0,0,1
1384,3,3,Urban,1976,152204.7558913935,0,0,1
2426,5,2,Urban,1975,308529.3077393932,0,0,1
2661,4,2,Urban,2015,308854.90099919715,0,0,1
2153,5,1,Suburb,1962,246860.55002366885,0,1,0
2076,2,3,Rural,2020,225867.2386279585,1,0,0
2707,2,2,Rural,1983,249678.22890096117,1,0,0
1729,2,2,Rural,1982,108636.47522678511,1,0,0
2695,4,1,Urban,1989,299818.56075223465,0,0,1
2733,5,1,Suburb,1992,290094.597001723,0,1,0
2439,5,1,Urban,1956,272077.872708492,0,0,1
1246,2,3,Rural,1988,130941.48294297824,1,0,0
1835,5,1,Suburb,2015,241849.2414576917,0,1,0
2462,3,3,Suburb,1985,206273.30005677108,0,1,0
1202,3,1,Urban,2013,155086.4598591631,0,0,1
2207,3,2,Suburb,1953,169742.87033019328,0,1,0
1122,3,3,Suburb,1971,148324.403196361,0,1,0
1400,5,1,Suburb,2020,184460.04344561708,0,1,0
1766,3,1,Urban,1953,138095.4799175649,0,0,1
1293,3,2,Urban,2013,205414.9104558009,0,0,1
1279,3,2,Suburb,1971,183265.3989623526,0,1,0
2860,3,2,Urban,2011,284616.467279546,0,0,1
1883,3,1,Suburb,1989,181947.6428840441,0,1,0
2633,4,2,Rural,1969,284003.76941338705,1,0,0
1197,4,2,Rural,1958,90959.78932620135,1,0,0
1981,3,3,Suburb,2014,198755.14636608923,0,1,0
2930,3,3,Rural,1972,370459.8290291032,1,0,0
2534,5,3,Rural,1984,348379.2664670972,1,0,0
1751,3,1,Rural,2008,270704.1541412828,1,0,0
1143,2,3,Suburb,1963,168931.8286047524,0,1,0
1608,4,1,Urban,1993,189126.05140688832,0,0,1
2224,3,2,Suburb,1971,218168.70814067312,0,1,0
2147,4,1,Suburb,1977,199220.1955072361,0,1,0
1186,3,1,Urban,2008,129960.0168172268,0,0,1
2349,2,2,Suburb,1996,281507.7449630544,0,1,0
1463,3,3,Suburb,2017,169378.78481722157,0,1,0
2372,4,3,Suburb,2019,248599.1076612193,0,1,0
2794,4,3,Rural,1966,411678.0284271322,1,0,0
1659,4,2,Suburb,1980,119032.8829834174,0,1,0
1763,5,1,Suburb,1963,230075.0498156624,0,1,0
1954,4,2,Urban,1998,122604.95616584706,0,0,1
2955,3,2,Rural,2016,296998.838109315,1,0,0
1402,2,2,Rural,1970,109470.14273140584,1,0,0
2369,2,2,Suburb,1962,246212.1973150715,0,1,0
2986,3,1,Rural,1999,310583.0758590737,1,0,0
2534,5,3,Rural,2017,233756.8863821809,1,0,0
1146,3,3,Urban,1961,100102.22524595106,0,0,1
2171,4,2,Urban,1997,199324.84069986545,0,0,1
1863,5,1,Rural,2013,331026.59636098804,1,0,0
2734,3,2,Urban,1964,231041.34837459872,0,0,1
2843,5,1,Suburb,1965,333530.0633743215,0,1,0
1488,2,2,Urban,2021,61092.661234490224,0,0,1
1928,3,3,Suburb,1999,205778.3124412656,0,1,0
2959,3,3,Urban,1990,384570.7364514372,0,0,1
2663,2,2,Rural,1953,339772.9527372086,1,0,0
1550,5,3,Suburb,1969,186745.12964093967,0,1,0
1337,2,2,Urban,1957,185559.0801900139,0,0,1
1871,5,1,Urban,2017,213894.31463154923,0,0,1
1640,3,1,Suburb,1996,180978.0156828019,0,1,0
2802,5,1,Urban,1982,243011.57473076603,0,0,1
2976,5,1,Rural,1954,265075.948204332,1,0,0
1472,4,2,Suburb,2017,163315.12699992972,0,1,0
2969,4,3,Rural,1990,384847.049904619,1,0,0
1150,4,1,Suburb,2010,190479.19894101736,0,1,0
2438,2,3,Suburb,1973,204129.2143255608,0,1,0
2321,2,2,Suburb,1976,249930.1176296619,0,1,0
2634,4,3,Suburb,1978,372750.474809396,0,1,0
1262,3,3,Rural,2016,189650.20106156013,1,0,0
2787,3,3,Rural,1986,308299.31208062085,1,0,0
1143,3,2,Suburb,2002,95784.07401708022,0,1,0
1345,2,2,Suburb,1951,165456.11841318812,0,1,0
1623,5,2,Rural,1986,236531.66553606672,1,0,0
2016,2,3,Suburb,2021,212190.754931357,0,1,0
2595,4,1,Suburb,2014,298280.3606844734,0,1,0
1880,5,1,Rural,1997,172765.2509259063,1,0,0
1001,3,3,Rural,1998,151917.35363762768,1,0,0
1896,2,1,Rural,1996,196497.06930440952,1,0,0
2327,2,1,Urban,1953,212603.1701695292,0,0,1
1253,4,3,Suburb,1952,205827.91372135773,0,1,0
2675,3,2,Rural,1985,350608.1323068653,1,0,0
1452,2,1,Suburb,1955,64055.91437875759,0,1,0
2060,2,2,Urban,1983,202645.46873652583,0,0,1
2183,5,1,Rural,2001,215636.3058238462,1,0,0
2014,2,3,Rural,1980,210336.9814886116,1,0,0
1008,5,3,Suburb,1983,161063.73607289075,0,1,0
2256,2,2,Suburb,1991,162732.68100454088,0,1,0
2122,3,2,Rural,1997,283190.3905839381,1,0,0
2682,4,2,Rural,2005,257018.5571445656,1,0,0
1815,3,2,Suburb,1967,161315.08881199546,0,1,0
1207,4,3,Suburb,1963,171344.51259950385,0,1,0
2154,2,3,Rural,2018,301758.3277786632,1,0,0
1403,3,3,Urban,2007,186512.3186615685,0,0,1
1151,5,2,Suburb,2019,147961.73986336417,0,1,0
1053,4,3,Suburb,2005,96856.0932254072,0,1,0
2143,4,3,Suburb,2002,241976.24174705177,0,1,0
2696,2,1,Rural,2018,256546.84581714935,1,0,0
2943,4,1,Rural,2009,245612.12503446644,1,0,0
1627,4,1,Rural,1981,192616.91072899688,1,0,0
1586,4,2,Suburb,1996,234537.6253437164,0,1,0
2648,2,2,Suburb,1971,266525.8016301305,0,1,0
2991,3,3,Urban,1953,411274.8172102008,0,0,1
2443,2,3,Rural,1974,241617.27376623056,1,0,0
2445,5,2,Rural,2010,230463.81535562876,1,0,0
1103,4,1,Suburb,1961,249885.94696430844,0,1,0
2875,4,3,Suburb,1980,320712.17394718895,0,1,0
1253,3,1,Urban,1950,131536.1635751427,0,0,1
2250,4,3,Suburb,2010,258681.64856947903,0,1,0
2135,3,1,Suburb,1955,236721.57971005855,0,1,0
1509,4,3,Suburb,1971,152417.95938444213,0,1,0
2496,4,1,Urban,1961,277449.0163566118,0,0,1
1098,2,1,Urban,1972,97639.64420350434,0,0,1
1152,2,2,Urban,1984,68864.72803706494,0,0,1
2884,5,3,Urban,1963,292602.0202390748,0,0,1
1913,3,1,Urban,1979,163126.63462798466,0,0,1
2919,5,2,Rural,1971,316117.1565885165,1,0,0
1877,2,3,Suburb,1965,173591.51575437415,0,1,0
1337,3,2,Urban,2020,245240.86934782268,0,0,1
2729,2,1,Urban,1964,299136.08095898724,0,0,1
1821,3,3,Urban,1951,102620.91177154332,0,0,1
2186,4,1,Urban,1971,174740.9101274219,0,0,1
2743,5,1,Suburb,2012,303839.76221234776,0,1,0
1956,5,2,Suburb,1964,255500.6502956529,0,1,0
2704,3,1,Rural,1968,305226.1480002337,1,0,0
1160,5,3,Suburb,1970,174048.9195625192,0,1,0
2603,2,2,Urban,1976,240369.9407103269,0,0,1
1800,5,1,Urban,1968,310732.5930169608,0,0,1
1397,3,1,Urban,1975,125680.08165265153,0,0,1
2300,5,1,Urban,1998,303253.7531069421,0,0,1
1815,5,2,Suburb,2007,137931.9765937645,0,1,0
2939,2,3,Suburb,2016,238181.44457414243,0,1,0
2527,4,2,Rural,1974,299144.4834011201,1,0,0
2919,2,1,Suburb,1971,340122.3586828582,0,1,0
2415,5,2,Urban,1963,230193.1787231853,0,0,1
2158,5,1,Urban,1958,300494.89658879273,0,0,1
2218,4,2,Suburb,1971,267560.2687840433,0,1,0
1400,4,1,Rural,1964,173748.30901295756,1,0,0
1639,2,2,Rural,1989,198112.8732028993,1,0,0
2056,4,1,Suburb,2014,237224.42820565245,0,1,0
1687,2,1,Suburb,2002,130383.649751031,0,1,0
1459,3,2,Suburb,1980,248587.29005790915,0,1,0
1954,5,2,Urban,1959,268826.7410314462,0,0,1
2906,4,1,Suburb,1983,307426.13760987023,0,1,0
1469,3,3,Suburb,1986,224293.97218700784,0,1,0
2398,3,1,Rural,1962,335992.3788479656,1,0,0
2045,2,1,Rural,1987,265649.0843029641,1,0,0
1749,2,3,Urban,1994,218960.6472310992,0,0,1
2693,4,1,Rural,1959,257512.558546102,1,0,0
1037,2,2,Rural,1971,86619.3046619419,1,0,0
1229,3,2,Suburb,2010,48780.11212797354,0,1,0
2388,3,3,Rural,1987,274896.26156200573,1,0,0
1562,5,1,Rural,2007,181237.83172594447,1,0,0
1437,3,2,Rural,1975,49052.37096077934,1,0,0
2799,4,1,Rural,1998,182649.2382746536,1,0,0
2306,5,3,Rural,2011,347942.00526169845,1,0,0
1026,2,2,Rural,1958,31998.01567703142,1,0,0
1225,5,3,Rural,2009,181103.2634891242,1,0,0
2300,3,1,Rural,1979,172216.0833107921,1,0,0
1797,4,1,Urban,1970,273262.8516738026,0,0,1
2632,2,1,Suburb,1999,306987.05161477905,0,1,0
1283,2,3,Rural,1978,172933.77203910236,1,0,0
1878,3,2,Suburb,1989,159685.44672150235,0,1,0
1959,4,3,Rural,1966,244916.4657968306,1,0,0
2504,3,2,Urban,2017,250927.64164111172,0,0,1
1452,3,1,Rural,2013,86276.33242040729,1,0,0
2019,4,1,Urban,1972,209029.94857251868,0,0,1
2852,3,3,Rural,1956,267060.0307693574,1,0,0
1815,4,2,Rural,1983,158867.81990114367,1,0,0
1658,4,1,Suburb,1973,200254.7187053508,0,1,0
2539,3,1,Rural,1956,197039.39492254207,1,0,0
1546,3,3,Rural,1957,251427.1553830112,1,0,0
2215,5,3,Urban,1952,298798.8574661124,0,0,1
2072,2,2,Suburb,1953,209615.3837860778,0,1,0
2535,2,1,Rural,2012,343628.22962201404,1,0,0
1016,4,2,Suburb,2015,86742.69815572829,0,1,0
2195,5,2,Suburb,2018,260504.83069560924,0,1,0
2243,4,2,Rural,1959,267664.3312110141,1,0,0
1157,5,3,Rural,2012,87137.890454451,1,0,0
1476,4,2,Rural,1986,217625.4427144939,1,0,0
2069,2,2,Rural,2021,179619.68105889083,1,0,0
2396,5,2,Rural,1952,304272.5427676434,1,0,0
1517,3,3,Suburb,1978,180446.9392014465,0,1,0
1098,3,3,Urban,2011,96810.15543797814,0,0,1
2915,2,1,Suburb,1982,293526.34787643905,0,1,0
2768,5,3,Rural,2009,333027.9076426232,1,0,0
2060,3,3,Suburb,1991,261561.33142323635,0,1,0
1279,3,2,Urban,2011,60826.5300881568,0,0,1
2372,3,1,Suburb,1955,278442.1634559852,0,1,0
1496,2,3,Rural,1998,123828.10360692852,1,0,0
1301,4,1,Rural,2021,88586.0572983957,1,0,0
1180,3,2,Rural,1992,134443.89746195945,1,0,0
1606,3,3,Urban,1958,136925.17083144034,0,0,1
2122,4,2,Rural,2000,234164.8909559664,1,0,0
1699,3,2,Rural,1963,150304.54943999165,1,0,0
1992,5,1,Rural,1973,240050.4959834057,1,0,0
2139,3,3,Rural,2021,277542.7034815458,1,0,0
1190,4,1,Suburb,1982,197241.25178700703,0,1,0
1252,2,2,Rural,1978,101805.59807931488,1,0,0
